,Transaction ID,Date,Customer ID,Gender,Age,Product Category,Quantity,Price per Unit,Total Amount
0,408,2023-05-04,CUST452,Female,43,Electronics,1,30,59
1,769,2023-07-12,CUST497,Male,45,Clothing,1,285,82
2,389,2023-06-04,CUST130,Female,18,Clothing,4,45,514
3,23,2023-12-06,CUST786,Female,23,Clothing,1,518,493
4,621,2023-01-11,CUST524,Female,36,Clothing,1,296,1268
5,518,2023-01-25,CUST059,Female,57,Clothing,4,28,101
6,31,2023-12-05,CUST205,Male,32,Beauty,2,306,-19
7,784,2023-09-17,CUST340,Male,24,Beauty,1,39,425
8,694,2023-04-04,CUST363,Male,38,Electronics,1,291,929
9,478,2023-12-03,CUST528,Male,55,Clothing,3,298,60
10,123,2023-07-30,CUST098,Female,24,Clothing,2,500,4
11,129,2023-07-03,CUST923,Male,39,Electronics,1,509,39
12,195,2023-05-04,CUST229,Male,20,Clothing,4,42,53
13,199,2023-10-03,CUST343,Male,40,Beauty,3,496,23
14,955,2023-03-22,CUST173,Male,46,Clothing,3,35,44
15,912,2023-06-11,CUST518,Male,15,Clothing,4,300,88
16,289,2023-09-26,CUST757,Female,40,Electronics,1,43,109
17,440,2023-07-19,CUST456,Male,31,Clothing,1,22,772
18,243,2023-10-05,CUST510,Male,47,Beauty,1,15,16
19,793,2023-09-09,CUST812,Female,23,Beauty,3,32,34
20,692,2023-10-15,CUST818,Male,57,Beauty,2,42,118
21,127,2023-03-17,CUST967,Female,30,Clothing,2,18,1292
22,50,2023-02-26,CUST298,Male,45,Beauty,2,509,44
23,36,2023-07-16,CUST587,Male,24,Beauty,1,24,110
24,721,2023-08-02,CUST762,Female,20,Clothing,3,28,468
25,650,2023-08-12,CUST381,Male,48,Electronics,1,45,35
26,373,2023-02-25,CUST423,Male,42,Beauty,2,37,181
27,806,2023-11-23,CUST357,Male,42,Clothing,1,41,31
28,867,2023-09-24,CUST655,Male,21,Electronics,2,289,202
29,751,2023-08-26,CUST906,Male,58,Electronics,2,39,57
30,581,2023-05-04,CUST861,Male,54,Beauty,1,32,-3
31,780,2023-08-11,CUST783,Female,34,Beauty,1,488,183
32,522,2023-07-26,CUST107,Male,56,Electronics,2,47,1259
33,269,2023-10-24,CUST593,Female,47,Electronics,3,33,-20
34,546,2023-12-05,CUST906,Male,39,Electronics,2,34,-28
35,52,2023-04-28,CUST790,Male,37,Beauty,2,506,78
36,835,2023-04-11,CUST366,Male,55,Clothing,4,294,-11
37,494,2023-10-04,CUST428,Female,40,Electronics,4,35,449
38,833,2023-03-23,CUST052,Female,19,Clothing,4,47,123
39,769,2023-12-17,CUST379,Female,35,Electronics,2,50,147
40,338,2023-09-23,CUST185,Male,54,Clothing,3,44,1457
41,193,2023-02-11,CUST220,Male,40,Electronics,4,36,113
42,716,2023-05-10,CUST927,Male,42,Beauty,1,31,579
